bias,gain,jointP
0,0,1.00283858842882e-64
0.15,0,8.97034095295481e-64
0.3,0,1.52866288143322e-63
0.45,0,1.33370581200782e-63
0.6,0,8.25955316708347e-64
0.75,0,4.16221631945821e-64
0.9,0,1.82850644549141e-64
1.05,0,7.28441157135333e-65
1.2,0,2.69716264400696e-65
1.35,0,9.43511031134211e-66
1.5,0,3.15415508446867e-66
1.65,0,1.01606715355595e-66
1.8,0,3.17369916131339e-67
1.95,0,9.65800157192436e-68
2.1,0,2.87418278010537e-68
2.25,0,8.38971827859579e-69
2.4,0,2.4079170693062e-69
2.55,0,6.80871207042282e-70
2.7,0,1.89994257775349e-70
2.85,0,5.23933508015377e-71
0,1,6.48091878898299e-39
0.15,1,5.79714940134803e-38
0.3,1,9.87909729902124e-38
0.45,1,8.61917277192094e-38
0.6,1,5.33779752063806e-38
0.75,1,2.68986318035996e-38
0.9,1,1.18168585803307e-38
1.05,1,4.70760502878473e-39
1.2,1,1.74306137180804e-39
1.35,1,6.09751004782406e-40
1.5,1,2.03839612736942e-40
1.65,1,6.56640937268501e-41
1.8,1,2.05102663204862e-41
1.95,1,6.24155517884268e-42
2.1,1,1.85746194826232e-42
2.25,1,5.42191768978631e-43
2.4,1,1.55613427293709e-43
2.55,1,4.4001806965878e-44
2.7,1,1.22785198856808e-44
2.85,1,3.38595917174924e-45
0,2,1.36318925786582e-25
0.15,2,1.21936596452878e-24
0.3,2,2.07795835033914e-24
0.45,2,1.81294722506714e-24
0.6,2,1.12274640027367e-24
0.75,2,5.65782832957068e-25
0.9,2,2.48554490542446e-25
1.05,2,9.90192411672157e-26
1.2,2,3.66633592429639e-26
1.35,2,1.28254348921213e-26
1.5,2,4.28753976801696e-27
1.65,2,1.38117125226288e-27
1.8,2,4.31410663123606e-28
1.95,2,1.31284178203849e-28
2.1,2,3.90696482583615e-29
2.25,2,1.14044014319599e-29
2.4,2,3.2731555412648e-30
2.55,2,9.25529119181929e-31
2.7,2,2.58265023149265e-31
2.85,2,7.12198890433117e-32
0,3,2.24073011303939e-17
0.15,3,2.0043218648983e-16
0.3,3,3.41562539638562e-16
0.45,3,2.98001573671365e-16
0.6,3,1.8455043229569e-16
0.75,3,9.3000045586658e-17
0.9,3,4.08559213972653e-17
1.05,3,1.62761989337455e-17
1.2,3,6.02650678376874e-18
1.35,3,2.10816935431213e-18
1.5,3,7.04760502887939e-19
1.65,3,2.27028785500772e-19
1.8,3,7.09127407195654e-20
1.95,3,2.15797190133044e-20
2.1,3,6.42203838192104e-21
2.25,3,1.87458825414963e-21
2.4,3,5.38022005649908e-22
2.55,3,1.52133018645743e-22
2.7,3,4.24520814829026e-23
2.85,3,1.1706705368007e-23
0,4,5.94439855186083e-12
0.15,4,5.31723473604918e-11
0.3,4,9.06126023023497e-11
0.45,4,7.90563804483118e-11
0.6,4,4.89591011474261e-11
0.75,4,2.4671839463899e-11
0.9,4,1.083860472868e-11
1.05,4,4.31788785309437e-12
1.2,4,1.59876274209667e-12
1.35,4,5.59273014805515e-13
1.5,4,1.86964832953183e-13
1.65,4,6.02281183221545e-14
1.8,4,1.88123322299662e-14
1.95,4,5.72485056124182e-15
2.1,4,1.70369271316233e-15
2.25,4,4.97306642975726e-16
2.4,4,1.42731032739878e-16
2.55,4,4.03591351972906e-17
2.7,4,1.12620475898432e-17
2.85,4,3.10565391305645e-18
0,5,2.75148184941569e-08
0.15,5,2.46118673532448e-07
0.3,5,4.19418261390281e-07
0.45,5,3.65928014392538e-07
0.6,5,2.26616834311488e-07
0.75,5,1.14198464124458e-07
0.9,5,5.01686149133094e-08
1.05,5,1.99861936442376e-08
1.2,5,7.40018797195888e-09
1.35,5,2.58870520823953e-09
1.5,5,8.65403522091705e-10
1.65,5,2.78777697932102e-10
1.8,5,8.70765818010742e-11
1.95,5,2.64985974147765e-11
2.1,5,7.88587699218195e-12
2.25,5,2.30188166187682e-12
2.4,5,6.60658673044717e-13
2.55,5,1.86810199525899e-13
2.7,5,5.212860352543e-14
2.85,5,1.43751302975247e-14
0,6,7.96705314216321e-06
0.15,6,7.12648913794631e-05
0.3,6,0.000121444652742292
0.45,6,0.000105956284519584
0.6,6,6.56180364137904e-05
0.75,6,3.30667357528157e-05
0.9,6,1.452657305982e-05
1.05,6,5.78710220847069e-06
1.2,6,2.14276139408711e-06
1.35,6,7.49572524631367e-07
1.5,6,2.50581912847581e-07
1.65,6,8.07214750388648e-08
1.8,6,2.52134592417684e-08
1.95,6,7.67280125221055e-09
2.1,6,2.28339507609756e-09
2.25,6,6.66521333987289e-10
2.4,6,1.91297019026168e-10
2.55,6,5.40918264620577e-11
2.7,6,1.50940975533621e-11
2.85,6,4.16239078699431e-12
0,7,0.000309808359055784
0.15,7,0.00277122025705045
0.3,7,0.00472252009755932
