bias,gain,jointP
0,0,3.0443445988952e-126
0.15,0,1.33162211998274e-125
0.3,0,1.41422204466349e-125
0.45,0,8.86240659363006e-126
0.6,0,4.26945587769298e-126
0.75,0,1.75859393671481e-126
0.9,0,6.52953953844798e-127
1.05,0,2.2519323443999e-127
1.2,0,7.34995637834653e-128
1.35,0,2.29851463001823e-128
1.5,0,6.94692307036889e-129
1.65,0,2.0419213056547e-129
1.8,0,5.86435747668772e-130
1.95,0,1.65157251235819e-130
2.1,0,4.57398418787551e-131
2.25,0,1.24850147019671e-131
2.4,0,3.36491395899259e-132
2.55,0,8.96812559795702e-133
2.7,0,2.36654720030118e-133
2.85,0,6.18972288705006e-134
0,2,2.2650914521615e-74
0.15,2,9.90770191579714e-74
0.3,2,1.05222722355023e-73
0.45,2,6.59391891052547e-74
0.6,2,3.17661411177058e-74
0.75,2,1.30845111795863e-74
0.9,2,4.85818990414434e-75
1.05,2,1.67551094774136e-75
1.2,2,5.46860673144371e-76
1.35,2,1.71016968414542e-76
1.5,2,5.16873683459701e-77
1.65,2,1.51925590063075e-77
1.8,2,4.36327280350761e-78
1.95,2,1.22882369549263e-78
2.1,2,3.40319308465885e-79
2.25,2,9.28925723185182e-80
2.4,2,2.50360548820228e-80
2.55,2,6.6725772901054e-81
2.7,2,1.76078813038584e-81
2.85,2,4.60535525702099e-82
0,4,1.31982856594157e-47
0.15,4,5.77304196650631e-47
0.3,4,6.1311411783296e-47
0.45,4,3.84215945511118e-47
0.6,4,1.85095663298145e-47
0.75,4,7.62411231110351e-48
0.9,4,2.83078098596854e-48
1.05,4,9.76290475718598e-49
1.2,4,3.18646003152421e-49
1.35,4,9.96485505955398e-50
1.5,4,3.0117311676867e-50
1.65,4,8.85243434526362e-51
1.8,4,2.54240158010834e-51
1.95,4,7.16013746054001e-52
2.1,4,1.98298017692016e-52
2.25,4,5.41268523144079e-53
2.4,4,1.45880645923777e-53
2.55,4,3.88799229608597e-54
2.7,4,1.02597997570316e-54
2.85,4,2.68345872689828e-55
0,6,4.0993663643927e-31
0.15,6,1.79309757861168e-30
0.3,6,1.90432261964696e-30
0.45,6,1.19336856644558e-30
0.6,6,5.74904162479663e-31
0.75,6,2.36803705973688e-31
0.9,6,8.79236035519752e-32
1.05,6,3.03234256426525e-32
1.2,6,9.89709376792681e-33
1.35,6,3.09506800438449e-33
1.5,6,9.3543887183562e-34
1.65,6,2.74955191412148e-34
1.8,6,7.89665854431614e-35
1.95,6,2.22392721506419e-35
2.1,6,6.15910463547573e-36
2.25,6,1.68117135447695e-36
2.4,6,4.53102947267388e-37
2.55,6,1.20760417336644e-37
2.7,6,3.18667735452255e-38
2.85,6,8.33477978061122e-39
0,8,3.03673774956292e-20
0.15,8,1.32829481963772e-19
0.3,8,1.41068835336585e-19
0.45,8,8.8402622569792e-20
0.6,8,4.2587878647472e-20
0.75,8,1.75419976953738e-20
0.9,8,6.51322429493179e-21
1.05,8,2.2463054813777e-21
1.2,8,7.3315911739642e-22
1.35,8,2.29277137267314e-22
1.5,8,6.92956491809584e-23
1.65,8,2.03681919345421e-23
1.8,8,5.84970431167742e-24
1.95,8,1.6474457576973e-24
2.1,8,4.56255525549445e-25
2.25,8,1.24538186193082e-25
2.4,8,3.35650610874086e-26
2.55,8,8.94571710312322e-27
2.7,8,2.36063395119102e-27
2.85,8,6.17425673731541e-28
0,10,6.37350430339301e-13
0.15,10,2.78782478017872e-12
0.3,10,2.9607523047447e-12
0.45,10,1.85539398474858e-12
0.6,10,8.93834272884149e-13
0.75,10,3.68171396485149e-13
0.9,10,1.36699532512106e-13
1.05,10,4.71454528938388e-14
1.2,10,1.53875414183212e-14
1.35,10,4.81206788848718e-15
1.5,10,1.45437688297193e-15
1.65,10,4.27487552936779e-16
1.8,10,1.22773577038119e-16
1.95,10,3.45765867592668e-17
2.1,10,9.57588963997557e-18
2.25,10,2.61380708871754e-18
2.4,10,7.04463404240419e-19
2.55,10,1.87752684478265e-19
2.7,10,4.95449784849454e-20
2.85,10,1.29585282401146e-20
0,12,4.90498185802127e-08
0.15,12,2.14548062089471e-07
0.3,12,2.27856382447819e-07
